Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Switzerland,CHE,GDP (current US$),9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,118710000000,108721000000,111432000000,111036000000,106019000000,107496000000,154096000000,192982000000,208774000000,201573000000,257420000000,260460000000,271134000000,263691000000,291914000000,341759000000,329619000000,286604000000,294978000000,289884000000,271660000000,278629000000,301128000000,351983000000,393542000000,407536000000,429196000000,477408000000,551547000000,539528000000,581209000000,696279000000,665054000000,684835000000,702706000000,670790000000,659827000000
Channel Islands,CHI,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,
Chile,CHL,GDP (current US$),4109993821,4609700367,5416266783,5668205957,5982343871,6026583779,7072636623,7013192292,7167084578,8377098358,9126311883,10884112886,11853818446,16836261234,16210404219,7622217357,10341925246,13962893422,15989933710,21803696986,29036709873,34509878044,25325893205,20355959237,19622527480,17702885393,18891048819,22255407685,26040229793,29885685143,33113887818,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497,77860932152,70980110277,69737148848,75643733356,99210528496,122965000000,154788000000,173606000000,179638000000,172390000000,218538000000,252252000000,267122000000,278384000000,260990000000,242518000000,247028000000
China,CHN,GDP (current US$),59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,113688000000,138544000000,144182000000,163432000000,153940000000,174938000000,149541000000,178283000000,191150000000,195865000000,205092000000,230686000000,259946000000,309486000000,300759000000,272973000000,312354000000,347767000000,360859000000,383373000000,426915000000,444731000000,564325000000,734548000000,863746000000,961603000000,1029040000000,1094000000000,1211350000000,1339400000000,1470550000000,1660290000000,1955350000000,2285970000000,2752130000000,3552180000000,4598210000000,5109950000000,6100620000000,7572550000000,8560550000000,9607220000000,10482400000000,11064700000000,11199100000000
Cote d'Ivoire,CIV,GDP (current US$),546203561.6,618245639.2,645284344.7,761047045.8,921063266.4,919771356.4,1024103034,1082922892,1281281246,1361360157,1455482990,1584128262,1849400600,2508421235,3070151901,3893839190,4662053708,6265067858,7900524898,9142935858,10175615442,8432588484,7567109767,6838185419,6841638715,6977650069,9158302205,10087653189,10255170460,9757410614,10795850107,10492628915,11152971316,11045759469,8313557450,11000146839,12139234939,11722142706,12612033729,12376639823,10717022463,11192560827,12346919216,15306602560,16554441847,17084928927,17800887796,20343635320,24224903100,24277493862,24884505035,25381616734,27040562587,31273049200,35372603446,32828516580,36164644633
Cameroon,CMR,GDP (current US$),618740988,657597382.8,699373701.2,723624365.3,782384527.8,814139855.8,853268771.1,934079050.3,1053077155,1152418515,1160002261,1233991075,1430951332,1758727395,2255496995,2752771044,3076592431,3366368665,4409920644,5811444661,6740756569,7636345827,7322914570,7381854747,7801858825,8148223604,10621158533,12302471429,12493286762,11140055364,11151578051,12434370005,11396310990,13532137228,9220470913,8733231184,9732328116,9840553236,9629649417,10486451144,9287367235,9633109350,10879778384,13621738837,15775357015,16587858857,17953066721,20431780378,23322254114,23381142147,23622483984,26587311528,26472056038,29567504655,32050817633,28415950981,24204448567
"Congo, Dem. Rep.",COD,GDP (current US$),3359404132,3086746936,3779841410,6213185774,2881545277,4043901724,4532660145,3384063360,3909780525,5032434971,4877684933,5594770352,6173712809,7870239464,9596960174,10237343153,9648583220,12344424776,15372607995,15068422242,14394927493,12537821040,13651667371,11006712649,7857729193,7195042616,8095367168,7661625473,8861299977,9021862775,9349764580,9087965282,8206227134,10707792340,5820383306,5643439262,5771454940,6090840548,6215591270,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14296507096,16364029327,19206060270,18262773821,20523285374,23849009738,27463220380,30014813756,34028119333,36188521107,34998638634
"Congo, Rep.",COG,GDP (current US$),131731862.6,151675739.2,166521239.9,172233430.9,185693724.8,198318063.9,220613582.4,237397428.3,251247458,265040036.1,274960699.9,322128019.3,410669262.9,541973362.5,585364635.4,767102679,754549600.5,765224030.6,878771771.3,1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259783,3019993739,3495868808,4648628921,6087003176,7731261311,8394688284,11859014004,9593536531,12007880590,14425607224,13677930124,14085852120,14177437627,8553154506,7833509443
Colombia,COL,GDP (current US$),4040948154,4552914000,4968603736,4838841456,5992169467,5790247619,5452762963,5727195020,5918455410,6405427874,7198360460,7820380971,8671358733,10315760000,12370029584,13098633902,15341403660,19470960619,23263511958,27940411250,33400735644,36388366869,38968039722,38729822782,38253120738,34894411352,34942489684,36373307085,39212550050,39540080200,40274204595,41239551378,49279585355,55802538219,81703500846,92507279383,97160109278,106660000000,98443739941,86186158685,99886577331,98203546156,97933391976,94684584163,117075000000,146566000000,162590000000,207416000000,243982000000,233822000000,287018000000,335415000000,369660000000,380192000000,378196000000,291520000000,282463000000
Comoros,COM,GDP (current US$),,,,,,,,,,,,,,,,,,,,,123505640.9,114271897.3,107089552.3,111519676,107489822.7,114490697.6,162487763.9,196433684,207476554.8,198733185.9,250030760.8,246823428.9,266191040.4,263568114.4,185761822.6,231896229.6,230495751.4,212099634.7,215394066.1,222580453.8,203846427.7,220093812.2,246737679.5,317562269.4,368143118.7,380372892.6,406111873.5,462453582.9,523134897,524157261,530493353.2,586281766.8,570865941.2,618663921.9,647720707.1,565689764.6,616654490.5
