Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cameroon,CMR,General government final consumption expenditure (current US$),,,,,,106103432.9,126500873.7,129383905.3,139461565.7,156287444,138894056.3,150354257.5,174321004.5,203345074.1,248873449.4,299869088.5,330983634.8,330582295,430849490.2,536788955.2,653904075,676320755.9,647180467.3,701248018.8,748197030.8,732919835.4,1204078535,1495343587,1340304980,1199908086,1421886108,1650619579,1460160112,1678521687,864937851.2,757710351.5,892917926.7,895496887.8,875581111.9,991881486.2,878294652.6,986088093.1,1112108713,1358711431,1603443649,1653295361,1723647789,2072926812,2517661135,2633142893,2742764150,3088193875,3032512868,3421990122,3785483855,3350581918,3648974705
"Congo, Dem. Rep.",COD,General government final consumption expenditure (current US$),310531386.8,301659061.5,465060327.9,559267274.4,275150946.8,391130293.3,518307894.1,333933719,458361279.8,557409178.4,687806607.7,739175251.9,698079806.8,822678637.8,1126935937,1190420976,925042598,1189865713,1410382708,1418081895,1204608367,1255904207,1291237426,828929516.9,515292230.2,553224128.5,647120734.4,760421338.1,1128653812,908584329.7,1076243969,1209371974,1783990298,1652097650,253994750.7,277301994,357876447.6,475161704.2,503474159.5,278543945.5,392753623.2,282666666.7,513141647,442035395.4,644094246.5,831173983.1,1350264023,1446541450,1417326363,2090058994,1820923785,3207070093,3484355375,4247256496,4491305660,4628822230,4158782808
"Congo, Rep.",COG,General government final consumption expenditure (current US$),19886201.53,20631155.11,22904824.3,26283956.08,27033731.07,28156258.45,34598066.97,38211240.51,45240699.83,46930193.28,46670960.9,55201175.17,71420741.37,95114530.5,104277205.1,138115857.5,133500414.4,148160356.7,201634471,244450912.3,300076313,267911606.5,291533131.9,325927761.2,324288450.3,355471101,461441743.7,472821006.8,465673424.4,465818590.4,547261366.8,755883650.3,789967801.8,530808206.6,385969358.1,332717258.8,326379057.4,486549429.3,471699572.7,354453967.3,372481513.1,393703741.3,554385282.3,606847587.7,696026082.9,790948305.7,1076899333,1424676193,1416910430,1173477502,1253641901,1440662934,2003811355,1908752328,1961662773,1551277367,1213040072
Colombia,COL,General government final consumption expenditure (current US$),257037769.4,307899880.6,349229670.2,358564266.7,397148477.8,376600000,363733333.3,394079976.8,403874365.5,452195800.6,650611032.2,852844210.4,823169431.1,975746361.1,1074373506,1164012545,1268194322,1495613732,1995139964,2608799943,3363065140,3798917848,4259914140,4248169303,4225456799,3731246275,3427423340,3165617438,3385997276,3649036967,3782901388,3813284808,4705190317,5623706895,12023222265,14094882751,17940221550,21770647290,20511848392,19593952406,16771744339,16582563902,16033941737,15081321766,18718694394,23454497525,25530047061,32442508795,37860228785,39059316367,48587631446,53985102315,61647422091,67280066897,67855574611,54278798178,51961256161
Comoros,COM,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,38106222.23,35351387.1,32047742.34,31711307.69,30449498.92,31518553.21,44908649.36,53611238.66,56307679.78,54883048.13,61315825.72,62058563.4,54803815.49,52553289.62,43657666.64,51656560.01,43788771.31,37373177.34,33835918.73,32639300.65,27145084.34,35866729.04,39289216.43,44269453.69,48648946.6,49198523.87,54198738.4,59688363.04,82583478.96,85161259.72,89143321.72,101119017.3,109426723.5,97131084.05,104174251.4,,
Cabo Verde,CPV,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264329615.5,302069339.9,311279047.1,306711101.4,345433338.6,302518219.5,323137421.5,342854805.3,,
Costa Rica,CRI,General government final consumption expenditure (current US$),52534339.9,56978172.81,54976466.52,62089111.44,68720590.67,74686792.45,81041509.43,88377358.49,96000000,106520754.7,123743396.2,149415919.6,178146194.4,213200337,238209319,298471411.9,385810968.5,491026849.5,591435215.9,728494749.1,880315052.5,412919920.2,379394589.7,497529337.5,599779027.5,646545152.5,712328200.7,711659010.7,755455938.8,933369786.7,1086339690,936357102,1024827833,1210800040,1382333111,1486301843,1517477252,1578660361,1737527120,1904957995,2066904507,2292348648,2443197432,2511398717,2605334237,2708405445,2983892097,3427715559,4151208537,4820888149,6245911453,7254118037,7937254375,8740620306,8851297807,9588640750,9961854472
Cuba,CUB,General government final consumption expenditure (current US$),,,,,,,,,,,1803101400,2189960200,2576582476,3163574427,3613191829,4125111463,4366677954,4500076265,5654444935,6207347671,6292183472,6382548795,6648362235,7047198370,7629374616,7131660116,7766061315,8068648862,8725618074,8576307061,8880540293,8100081070,7685581081,7914077027,7756708243,7422978935,6642900000,6805900000,7122000000,8204400000,9046200000,9785800000,11455900000,12110600000,13554300000,14349000000,17001100000,20751500000,24250000000,24187000000,22360000000,24437000000,23343000000,25032000000,26138000000,28062225864,
Curacao,CUW,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
